parcel_id,zona_provincia,tipo_olivar,riego,superficie_ha,variedad,estado_fenologico,tipo_suelo,drenaje,pendiente_%,distancia_rio_m,altitud_m,rain_72h_mm,rain_7d_mm,temp_media_7d,humedad_suelo_%,profundidad_suelo_cm,materia_organica_%,rendimiento_esperado_kg_ha,precio_mercado_eur_kg,coste_variable_ha,duracion_encharcamiento_dias,pct_perdida
OLV_42_0060,Cadiz,Superintensivo,Secano,48.79,Hojiblanca,Engorde,Arcilloso,Moderado,6.5,730.1,133.0,125.0,378.4,14.3,60.8,133,2.82,8531,0.78,1720,3.07,0.0771
OLV_42_0061,Málaga,Tradicional,Secano,43.94,Arbequina,Reposo,Franco,Bueno,5.8,466.7,318.0,133.8,158.9,19.5,65.6,65,1.31,4846,0.89,1366,2.55,0.0
OLV_42_0062,Granada,Tradicional,Secano,22.78,Picual,Floracion,Franco-arcilloso,Malo,2.1,52.6,569.0,111.3,380.0,15.8,82.0,115,2.09,5646,0.76,1184,2.47,0.1685
OLV_42_0063,Cadiz,Intensivo,Riego,45.02,Manzanilla,Floracion,Franco,Malo,8.8,749.8,242.0,320.0,380.0,13.7,59.7,122,1.64,10721,0.74,1746,3.59,0.2477
OLV_42_0064,Jaén,Intensivo,Secano,33.51,Picual,Cuajado,Franco,Bueno,9.4,58.5,686.0,97.3,157.6,16.6,36.7,92,2.1,6556,0.79,1646,0.69,0.0
OLV_42_0065,Jaén,Tradicional,Secano,15.18,Hojiblanca,Engorde,Limoso,Bueno,8.1,1354.8,493.0,120.9,191.3,16.4,48.2,44,2.64,5152,0.82,1195,2.12,0.0459
OLV_42_0066,Jaén,Tradicional,Secano,48.26,Manzanilla,Engorde,Arenoso,Malo,5.2,619.7,469.0,27.8,75.2,15.3,32.5,132,2.39,5780,0.77,1024,0.73,0.0
OLV_42_0067,Sevilla,Tradicional,Secano,24.56,Arbequina,Cuajado,Arcilloso,Moderado,7.6,2203.2,161.0,79.3,235.2,21.7,34.7,84,1.44,4665,0.91,1374,0.69,0.0
OLV_42_0068,Málaga,Tradicional,Secano,24.97,Hojiblanca,Floracion,Limoso,Malo,3.0,2147.2,281.0,36.4,41.4,18.6,26.8,100,1.11,5830,0.8,1213,0.17,0.0
OLV_42_0069,Sevilla,Intensivo,Riego,7.75,Arbequina,Engorde,Franco,Moderado,5.8,1047.9,149.0,91.8,338.1,16.5,59.3,56,1.58,10224,0.89,1723,2.96,0.0365
OLV_42_0070,Sevilla,Tradicional,Riego,32.04,Manzanilla,Reposo,Franco,Bueno,7.9,962.2,118.0,113.4,218.3,16.9,56.0,102,0.83,8630,0.75,1356,2.27,0.0
OLV_42_0071,Jaén,Tradicional,Secano,22.08,Hojiblanca,Engorde,Arcilloso,Moderado,8.8,310.0,501.0,304.6,380.0,17.2,78.4,107,2.29,5027,0.78,1257,3.59,0.1727
OLV_42_0072,Córdoba,Intensivo,Riego,45.83,Picual,Engorde,Arcilloso,Moderado,13.0,582.0,342.0,287.3,380.0,13.2,59.2,117,0.92,10728,0.8,1568,2.7,0.123
OLV_42_0073,Sevilla,Intensivo,Secano,18.06,Manzanilla,Reposo,Arcilloso,Malo,1.5,1887.1,144.0,76.8,188.7,16.4,78.6,109,2.74,6481,0.77,1611,2.39,0.0
OLV_42_0074,Málaga,Intensivo,Secano,38.43,Hojiblanca,Reposo,Franco,Malo,3.7,2369.1,298.0,24.7,83.4,14.9,33.8,62,2.43,6732,0.77,1694,0.24,0.0
OLV_42_0075,Cadiz,Tradicional,Secano,6.8,Hojiblanca,Floracion,Franco,Moderado,5.3,1129.6,12.0,96.3,344.0,19.6,43.4,113,1.29,5323,0.75,1243,1.74,0.0
OLV_42_0076,Jaén,Tradicional,Secano,25.77,Picual,Cuajado,Franco,Bueno,4.8,1504.9,505.0,41.1,46.1,19.9,18.6,145,2.1,5427,0.8,1033,0.0,0.0
OLV_42_0077,Sevilla,Intensivo,Secano,23.02,Picual,Engorde,Franco-arcilloso,Malo,5.3,786.7,70.0,54.7,115.3,16.8,61.1,66,2.01,6432,0.83,1493,1.71,0.0
OLV_42_0078,Cadiz,Tradicional,Secano,47.58,Hojiblanca,Cuajado,Arcilloso,Malo,6.1,119.5,51.0,149.1,380.0,15.0,82.0,140,1.05,5540,0.85,1099,3.84,0.235
OLV_42_0079,Granada,Tradicional,Secano,41.94,Hojiblanca,Reposo,Limoso,Malo,5.9,1512.9,572.0,87.7,274.7,26.9,82.0,138,2.84,5209,0.77,931,1.84,0.0
OLV_42_0080,Jaén,Tradicional,Riego,5.57,Picual,Brotacion,Limoso,Malo,2.4,1242.1,415.0,7.8,36.3,11.1,50.6,54,2.79,10413,0.82,1335,0.0,0.0
OLV_42_0081,Córdoba,Intensivo,Secano,5.11,Cornicabra,Engorde,Franco,Moderado,4.9,2061.7,327.0,42.8,145.9,13.4,21.4,135,2.56,6120,0.85,1412,0.49,0.0
OLV_42_0082,Jaén,Tradicional,Secano,15.78,Picual,Engorde,Arenoso,Malo,3.0,1377.2,586.0,9.9,38.1,8.0,43.7,132,1.79,5270,0.89,1086,0.41,0.0
OLV_42_0083,Jaén,Tradicional,Riego,7.66,Picual,Floracion,Arcilloso,Malo,3.7,945.1,442.0,192.8,380.0,16.6,69.9,46,2.1,9621,0.84,1510,4.89,0.4103
OLV_42_0084,Sevilla,Tradicional,Secano,6.75,Hojiblanca,Reposo,Arenoso,Moderado,3.4,274.9,342.0,229.1,380.0,12.7,37.3,54,2.64,5357,0.76,1113,3.46,0.0
OLV_42_0085,Jaén,Tradicional,Secano,21.85,Picual,Cuajado,Franco-arcilloso,Moderado,9.0,283.2,478.0,32.6,97.3,17.3,50.6,139,1.94,5652,0.8,1056,0.2,0.0
OLV_42_0086,Córdoba,Tradicional,Secano,46.9,Arbequina,Brotacion,Franco-arcilloso,Moderado,2.1,1491.3,279.0,17.4,40.1,17.2,29.4,40,1.86,5363,0.91,1083,0.5,0.0
OLV_42_0087,Córdoba,Tradicional,Secano,39.38,Picual,Floracion,Arenoso,Moderado,4.1,853.2,408.0,29.1,49.6,20.0,30.1,125,2.09,4900,0.84,833,0.01,0.0
OLV_42_0088,Córdoba,Superintensivo,Riego,18.84,Picual,Cuajado,Franco-arcilloso,Moderado,1.4,296.1,286.0,26.4,66.6,24.0,40.5,98,2.77,12000,0.82,1712,0.0,0.0
OLV_42_0089,Jaén,Tradicional,Secano,11.82,Picual,Brotacion,Arcilloso,Moderado,4.8,1586.8,522.0,55.3,150.4,18.0,66.9,64,1.45,5388,0.77,1187,2.14,0.0
OLV_42_0090,Jaén,Tradicional,Secano,25.42,Hojiblanca,Brotacion,Arcilloso,Malo,6.1,494.4,603.0,61.8,145.4,12.7,67.6,91,2.37,5352,0.81,1014,2.23,0.0
OLV_42_0091,Málaga,Tradicional,Riego,28.98,Cornicabra,Reposo,Franco-arcilloso,Moderado,6.0,146.8,343.0,284.4,380.0,17.5,69.6,141,2.25,9449,0.89,1421,3.62,0.0488
OLV_42_0092,Granada,Intensivo,Secano,46.19,Picual,Cuajado,Franco-arcilloso,Bueno,6.6,1155.8,564.0,95.7,257.7,18.9,54.3,121,2.22,6536,0.81,1611,1.34,0.0257
OLV_42_0093,Sevilla,Tradicional,Secano,46.7,Cornicabra,Engorde,Franco-arcilloso,Malo,7.2,42.3,275.0,216.8,380.0,17.5,70.6,55,0.95,5263,0.83,809,5.13,0.1677
OLV_42_0094,Córdoba,Tradicional,Secano,24.84,Picual,Brotacion,Arcilloso,Malo,2.5,1336.7,309.0,131.2,165.9,20.2,62.7,127,0.82,5355,0.77,1043,3.77,0.0426
OLV_42_0095,Málaga,Intensivo,Secano,20.83,Hojiblanca,Floracion,Franco-arcilloso,Moderado,1.4,909.7,176.0,187.9,380.0,17.0,62.1,93,2.36,5735,0.78,1199,3.89,0.2626
OLV_42_0096,Córdoba,Tradicional,Secano,27.26,Hojiblanca,Engorde,Arcilloso,Malo,9.0,971.8,360.0,320.0,380.0,23.4,63.0,81,1.51,5249,0.0,1281,4.11,0.2136
OLV_42_0097,Jaén,Tradicional,Secano,41.19,Picual,Engorde,Franco-arcilloso,Malo,6.4,212.8,368.0,144.2,279.1,14.1,74.4,93,3.0,5214,0.84,1253,5.5,0.1146
OLV_42_0098,Córdoba,Tradicional,Riego,19.54,Arbequina,Reposo,Franco,Malo,3.3,1670.8,376.0,130.6,380.0,22.1,65.0,31,0.87,8432,0.85,1420,4.58,0.017
OLV_42_0099,Jaén,Tradicional,Secano,38.39,Picual,Engorde,Franco,Bueno,6.0,2264.1,625.0,109.4,380.0,15.4,27.7,118,2.2,5844,0.8,1383,1.43,0.0
OLV_42_0100,Cadiz,Tradicional,Secano,13.13,Manzanilla,Cuajado,Franco,Malo,4.2,1635.4,0.0,84.1,269.4,18.9,53.6,67,2.92,5044,0.82,1189,1.74,0.0
OLV_42_0101,Córdoba,Tradicional,Riego,39.52,Hojiblanca,Cuajado,Arenoso,Bueno,2.2,835.2,99.0,168.1,334.7,10.9,38.6,74,1.45,8551,0.79,1348,2.44,0.0142
OLV_42_0102,Sevilla,Superintensivo,Secano,23.3,Picual,Engorde,Limoso,Moderado,0.2,493.5,191.0,12.7,43.3,15.6,22.6,89,1.67,8963,0.84,1644,0.36,0.0
OLV_42_0103,Córdoba,Tradicional,Riego,32.8,Hojiblanca,Cuajado,Franco-arcilloso,Moderado,0.5,673.8,512.0,102.3,285.5,19.1,62.6,140,1.52,8795,0.81,1016,1.91,0.0332
OLV_42_0104,Granada,Tradicional,Secano,26.15,Picual,Brotacion,Franco,Moderado,5.4,1211.5,659.0,11.9,48.3,16.8,40.3,59,2.75,5694,0.84,1138,0.5,0.0
OLV_42_0105,Sevilla,Tradicional,Riego,25.95,Manzanilla,Brotacion,Franco,Bueno,3.9,1411.7,157.0,35.8,78.8,20.6,32.2,140,1.13,9016,0.76,1210,0.0,0.0
OLV_42_0106,Córdoba,Tradicional,Secano,9.12,Hojiblanca,Engorde,Limoso,Bueno,1.7,650.9,402.0,13.7,28.1,18.1,30.8,49,1.39,5345,0.78,1088,0.0,0.0
OLV_42_0107,Cadiz,Tradicional,Secano,36.78,Manzanilla,Brotacion,Franco-arcilloso,Malo,10.8,1092.3,67.0,121.8,380.0,16.9,69.3,58,2.54,4750,0.73,1171,3.65,0.0984
OLV_42_0108,Jaén,Tradicional,Secano,28.23,Hojiblanca,Brotacion,Arcilloso,Moderado,6.9,242.6,461.0,38.9,94.7,17.5,43.4,125,2.2,5401,0.78,1097,0.09,0.0
OLV_42_0109,Jaén,Tradicional,Secano,27.01,Picual,Cuajado,Arcilloso,Moderado,2.7,1186.6,508.0,34.9,39.9,12.2,47.5,94,2.16,5026,0.79,1252,1.45,0.0
OLV_42_0110,Sevilla,Tradicional,Secano,9.57,Cornicabra,Reposo,Franco-arcilloso,Bueno,2.9,1237.9,32.0,89.6,220.1,19.1,31.4,93,2.34,5198,0.89,1120,1.64,0.0
OLV_42_0111,Cadiz,Superintensivo,Secano,20.13,Hojiblanca,Brotacion,Franco-arcilloso,Moderado,1.8,36.6,64.0,28.3,54.7,19.6,45.1,33,0.9,8382,0.77,1610,1.79,0.0
OLV_42_0112,Sevilla,Intensivo,Secano,11.68,Hojiblanca,Reposo,Arenoso,Bueno,7.9,286.8,119.0,30.7,59.4,18.2,28.9,117,2.75,6424,0.78,1561,0.0,0.0
OLV_42_0113,Granada,Intensivo,Secano,2.9,Picual,Brotacion,Franco,Bueno,2.5,1817.0,592.0,17.9,49.4,14.4,20.1,66,1.48,6425,0.76,1366,0.48,0.0
OLV_42_0114,Jaén,Tradicional,Secano,16.53,Picual,Engorde,Franco,Malo,8.3,1067.3,492.0,58.2,137.3,18.7,49.8,65,1.3,5476,0.84,1262,1.21,0.0
OLV_42_0115,Jaén,Tradicional,Secano,5.67,Cornicabra,Brotacion,Franco-arcilloso,Moderado,4.0,596.7,597.0,7.9,12.9,22.5,21.9,139,2.19,5058,0.85,1172,0.49,0.0
OLV_42_0116,Granada,Tradicional,Secano,30.01,Cornicabra,Cuajado,Franco-arcilloso,Bueno,2.9,271.7,696.0,41.3,107.1,19.7,57.5,56,2.79,5257,0.86,993,0.79,0.0
OLV_42_0117,Jaén,Tradicional,Secano,21.65,Picual,Reposo,Limoso,Bueno,5.5,281.2,631.0,46.4,135.5,11.9,57.5,85,1.04,4967,0.79,1079,1.24,0.0
OLV_42_0118,Jaén,Tradicional,Riego,3.29,Picual,Reposo,Franco,Moderado,5.6,1010.1,459.0,92.4,317.6,14.7,55.4,40,1.13,8770,0.81,1389,1.25,0.0
OLV_42_0119,Málaga,Tradicional,Riego,15.49,Hojiblanca,Brotacion,Limoso,Bueno,2.1,2094.5,184.0,48.2,62.0,15.8,26.4,42,1.9,8263,0.8,1347,0.43,0.0
OLV_42_0120,Granada,Intensivo,Riego,43.12,Picual,Engorde,Franco-arcilloso,Bueno,1.0,544.6,665.0,45.8,97.3,21.7,39.7,59,2.96,10638,0.79,1654,1.1,0.0
OLV_42_0121,Córdoba,Tradicional,Secano,18.5,Picual,Cuajado,Arcilloso,Malo,6.2,1793.4,272.0,119.4,176.4,18.5,63.8,52,1.15,5223,0.85,1268,2.51,0.112
OLV_42_0122,Córdoba,Tradicional,Riego,28.41,Arbequina,Floracion,Franco,Moderado,8.3,2042.7,318.0,167.2,318.7,18.0,44.4,114,1.37,8206,0.85,1479,2.48,0.0632
OLV_42_0123,Córdoba,Tradicional,Secano,39.85,Hojiblanca,Brotacion,Franco-arcilloso,Bueno,10.3,412.9,284.0,59.2,208.1,17.5,28.4,142,1.35,4679,0.78,1380,0.23,0.0
OLV_42_0124,Sevilla,Tradicional,Riego,20.38,Manzanilla,Floracion,Limoso,Moderado,4.4,1172.1,37.0,81.0,261.9,18.0,52.1,148,0.93,9371,0.77,1311,1.32,0.0
OLV_42_0125,Málaga,Tradicional,Riego,45.91,Arbequina,Floracion,Arenoso,Malo,4.8,1331.3,465.0,44.6,89.2,13.3,24.5,112,2.09,9529,0.84,1491,0.49,0.0
OLV_42_0126,Sevilla,Intensivo,Secano,42.21,Hojiblanca,Engorde,Franco-arcilloso,Malo,4.9,1460.6,357.0,198.8,306.3,16.5,73.1,115,1.05,6615,0.78,1384,4.98,0.1868
OLV_42_0127,Jaén,Tradicional,Secano,32.0,Cornicabra,Cuajado,Arcilloso,Moderado,5.7,581.7,413.0,317.4,380.0,16.0,72.9,98,2.53,5061,0.85,1041,3.01,0.205
OLV_42_0128,Sevilla,Intensivo,Secano,26.98,Picual,Brotacion,Franco,Malo,11.0,1620.9,106.0,56.3,85.7,22.6,25.0,107,1.2,6412,0.79,1657,0.0,0.0
OLV_42_0129,Cadiz,Intensivo,Riego,44.27,Arbequina,Floracion,Franco-arcilloso,Moderado,6.2,2116.6,26.0,58.8,94.9,15.0,42.1,124,1.26,11045,0.82,1784,0.77,0.0
OLV_42_0130,Córdoba,Tradicional,Riego,35.16,Hojiblanca,Reposo,Limoso,Moderado,4.2,679.8,343.0,59.5,127.7,14.6,56.3,37,2.56,9892,0.81,1234,1.82,0.0
